                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  0.764,                 1.4854,                  1.127,                0.99141,                0.47118,                0.48407,                 0.3889,                0.79211,                 1.0986,                 1.0514,              0.0033267,              0.0033267,              0.0033267
                      2,                0.73526,                0.82164,                 1.0875,                0.97138,                0.47458,                 0.4873,                 0.4059,                0.64776,                0.65186,                0.98888,              0.0065941,              0.0065941,              0.0065941
                      3,                0.78161,                0.68987,                  1.124,                0.96959,                0.46732,                0.48577,                   0.41,                0.60751,                0.55469,                0.96302,              0.0097955,              0.0097955,              0.0097955
                      4,                0.78665,                 0.6255,                 1.1298,                 0.9909,                0.47118,                0.48941,                0.41836,                0.62208,                0.45401,                0.99564,               0.009703,               0.009703,               0.009703
                      5,                0.73627,                0.56395,                 1.1049,                0.99343,                0.47406,                0.48387,                 0.4049,                0.64711,                0.45476,                0.98506,               0.009703,               0.009703,               0.009703
                      6,                0.70456,                0.52688,                 1.0908,                0.99552,                0.47788,                0.98853,                0.74126,                0.45681,                0.35877,                0.87809,               0.009604,               0.009604,               0.009604
                      7,                0.67077,                0.49768,                 1.0714,                0.99395,                0.47085,                 0.4893,                0.41359,                0.68717,                0.42009,                0.98867,               0.009505,               0.009505,               0.009505
                      8,                0.65184,                0.47375,                 1.0593,                0.99258,                0.47826,                0.49221,                 0.4416,                0.46973,                0.38737,                0.88012,               0.009406,               0.009406,               0.009406
                      9,                0.62491,                0.45223,                 1.0547,                0.98824,                0.47844,                0.49744,                0.44329,                0.49479,                0.35558,                0.90517,               0.009307,               0.009307,               0.009307
                     10,                0.61046,                0.43804,                 1.0386,                0.99557,                0.48328,                0.49058,                0.43553,                0.54506,                0.35633,                0.93142,               0.009208,               0.009208,               0.009208
                     11,                0.59467,                0.43362,                 1.0289,                0.99206,                0.48127,                0.49173,                0.45154,                0.44468,                0.31809,                0.86909,               0.009109,               0.009109,               0.009109
                     12,                 0.5945,                0.43208,                 1.0317,                0.99848,                0.47175,                0.48976,                0.44109,                0.50136,                0.35646,                0.89346,                0.00901,                0.00901,                0.00901
                     13,                0.57216,                0.41427,                 1.0191,                0.99719,                 0.4755,                0.49471,                0.45317,                0.41309,                0.31926,                0.85836,               0.008911,               0.008911,               0.008911
                     14,                0.56397,                0.40716,                 1.0137,                0.99861,                0.47983,                0.50862,                0.46311,                0.44096,                 0.2942,                 0.8665,               0.008812,               0.008812,               0.008812
                     15,                0.54407,                0.38631,                  1.006,                0.99708,                 0.4755,                0.49136,                0.45598,                0.40191,                0.29384,                0.86025,               0.008713,               0.008713,               0.008713
                     16,                 0.5457,                0.38643,                 1.0095,                0.99555,                0.48171,                0.49263,                0.45732,                0.38417,                0.28591,                0.84719,               0.008614,               0.008614,               0.008614
                     17,                0.54096,                0.38225,                 1.0099,                0.99407,                0.48012,                0.50403,                0.45935,                0.38621,                0.29305,                0.85156,               0.008515,               0.008515,               0.008515
                     18,                0.53608,                0.38268,                0.99999,                0.99521,                0.48415,                0.49862,                0.46507,                0.37048,                0.27005,                0.83745,               0.008416,               0.008416,               0.008416
                     19,                0.52107,                0.37137,                0.99251,                0.99042,                0.48559,                0.65803,                0.60847,                 0.3716,                0.28311,                0.83928,               0.008317,               0.008317,               0.008317
                     20,                0.51339,                0.36441,                0.98696,                0.99406,                0.47903,                0.50214,                0.46707,                0.36635,                0.25865,                0.83217,               0.008218,               0.008218,               0.008218
                     21,                0.51232,                0.36157,                0.98458,                0.99411,                0.48327,                0.49441,                0.46341,                0.36305,                0.25878,                0.83206,               0.008119,               0.008119,               0.008119
                     22,                0.50079,                 0.3573,                0.98308,                0.99851,                0.48091,                0.49824,                0.46253,                0.36627,                0.26328,                0.83782,                0.00802,                0.00802,                0.00802
                     23,                0.50585,                0.35539,                  0.989,                      1,                0.47644,                0.50152,                0.47129,                0.34311,                0.25386,                0.82786,               0.007921,               0.007921,               0.007921
                     24,                 0.4896,                0.35063,                0.98028,                0.99603,                0.48415,                0.51667,                0.48682,                0.34413,                0.26236,                0.83043,               0.007822,               0.007822,               0.007822
                     25,                0.49182,                 0.3487,                0.98255,                0.99704,                0.48331,                0.50808,                   0.47,                0.35974,                0.24832,                0.83046,               0.007723,               0.007723,               0.007723
                     26,                0.48649,                0.34188,                0.97701,                0.99962,                0.48415,                0.51158,                0.47713,                0.35945,                0.25541,                0.83636,               0.007624,               0.007624,               0.007624
                     27,                0.47722,                0.33757,                0.97094,                 0.9946,                0.48271,                0.49254,                0.46706,                0.33886,                0.24869,                0.82701,               0.007525,               0.007525,               0.007525
                     28,                0.48157,                0.34588,                0.97783,                0.99746,                0.47695,                0.51093,                 0.4793,                  0.352,                0.24576,                  0.833,               0.007426,               0.007426,               0.007426
                     29,                0.47414,                0.33885,                0.96888,                0.99461,                0.48559,                0.49641,                0.46797,                0.33357,                0.22919,                0.82179,               0.007327,               0.007327,               0.007327
                     30,                0.47174,                0.32659,                 0.9729,                  0.998,                0.47983,                0.49494,                0.46404,                0.35919,                0.24551,                0.83084,               0.007228,               0.007228,               0.007228
                     31,                0.46314,                0.32422,                0.96636,                0.99566,                0.48271,                0.66169,                0.61803,                0.34187,                 0.2378,                0.82764,               0.007129,               0.007129,               0.007129
                     32,                 0.4579,                0.32122,                0.96246,                0.99851,                0.48137,                0.49692,                0.46708,                0.33936,                0.23772,                0.82661,                0.00703,                0.00703,                0.00703
                     33,                0.44758,                0.32234,                0.95927,                0.99688,                0.48271,                0.50148,                0.47062,                0.33535,                 0.2312,                 0.8251,               0.006931,               0.006931,               0.006931
                     34,                0.45051,                0.31279,                0.96617,                0.99916,                0.48271,                  0.504,                0.47322,                0.33624,                0.22526,                0.82456,               0.006832,               0.006832,               0.006832
                     35,                0.44547,                0.31342,                0.96012,                0.99851,                0.48087,                0.50614,                0.47339,                0.32566,                0.22709,                0.81626,               0.006733,               0.006733,               0.006733
                     36,                0.45014,                0.31728,                0.96112,                0.65347,                0.89259,                0.74161,                  0.668,                0.33505,                0.23157,                0.81866,               0.006634,               0.006634,               0.006634
                     37,                0.43808,                0.30958,                0.95536,                0.99704,                0.48461,                0.54084,                  0.506,                0.32872,                0.22145,                0.81599,               0.006535,               0.006535,               0.006535
                     38,                0.44247,                0.30375,                0.95907,                0.99705,                0.48525,                0.50431,                0.47525,                0.32871,                 0.2227,                0.81546,               0.006436,               0.006436,               0.006436
                     39,                0.43873,                0.31002,                0.95196,                      1,                0.48545,                0.51876,                0.48761,                0.32589,                 0.2228,                0.81387,               0.006337,               0.006337,               0.006337
                     40,                0.44068,                0.30915,                0.95459,                      1,                0.48261,                0.52785,                0.49039,                0.32275,                0.21482,                0.81667,               0.006238,               0.006238,               0.006238
                     41,                0.43028,                0.30104,                0.95667,                      1,                0.48384,                0.50072,                0.47371,                0.32474,                0.22022,                0.81312,               0.006139,               0.006139,               0.006139
                     42,                0.42061,                0.29545,                0.94427,                0.99852,                 0.4839,                0.53709,                0.49845,                0.32443,                0.21666,                0.82025,                0.00604,                0.00604,                0.00604
                     43,                0.43032,                0.29328,                0.95189,                0.99704,                0.48382,                0.51037,                0.47961,                0.33239,                0.22715,                0.81559,               0.005941,               0.005941,               0.005941
                     44,                0.42384,                0.29501,                0.95042,                0.99958,                0.48127,                0.50539,                 0.4766,                0.32557,                0.21735,                0.81635,               0.005842,               0.005842,               0.005842
                     45,                0.42012,                0.28909,                0.94781,                      1,                0.48498,                 0.5281,                0.49685,                0.31321,                0.21418,                0.81281,               0.005743,               0.005743,               0.005743
                     46,                0.42394,                 0.2938,                0.95109,                0.99799,                0.48415,                 0.5934,                0.55042,                 0.3183,                0.21275,                0.81634,               0.005644,               0.005644,               0.005644
                     47,                0.41056,                0.29302,                0.94572,                0.99761,                0.48559,                0.49476,                0.47067,                0.32166,                0.21177,                0.81458,               0.005545,               0.005545,               0.005545
                     48,                0.41495,                0.28986,                0.94816,                      1,                0.48512,                0.49446,                0.47041,                0.31835,                0.20207,                 0.8127,               0.005446,               0.005446,               0.005446
                     49,                0.41058,                0.28584,                 0.9443,                0.43949,                0.49135,                0.66216,                0.60377,                0.31876,                0.20748,                0.81045,               0.005347,               0.005347,               0.005347
                     50,                0.41202,                0.28367,                0.95022,                0.99805,                0.48559,                0.66158,                0.57133,                0.31295,                0.20241,                0.81013,               0.005248,               0.005248,               0.005248
                     51,                0.40356,                0.28194,                0.94191,                0.99703,                0.48218,                0.49325,                0.47066,                0.31665,                0.20439,                0.81352,               0.005149,               0.005149,               0.005149
                     52,                0.39951,                0.27554,                0.93792,                0.99478,                0.48415,                0.49632,                0.47115,                0.30908,                0.20239,                0.81086,                0.00505,                0.00505,                0.00505
                     53,                    0.4,                 0.2769,                0.93837,                0.99561,                0.48784,                0.49639,                0.47215,                0.30368,                0.19153,                0.80669,               0.004951,               0.004951,               0.004951
                     54,                0.40309,                0.28051,                0.93935,                0.99939,                0.48271,                0.57904,                0.52773,                0.30583,                0.20027,                0.80814,               0.004852,               0.004852,               0.004852
                     55,                0.39861,                0.27735,                0.93646,                0.99926,                0.48127,                0.52756,                0.49465,                0.31329,                0.20303,                0.80834,               0.004753,               0.004753,               0.004753
                     56,                0.39745,                0.27544,                0.93898,                0.99653,                0.48559,                  0.512,                  0.478,                0.30429,                0.19706,                0.80964,               0.004654,               0.004654,               0.004654
